support_name,source_support,raw_support,source_sector,raw_sector,block_dimension,i,j,object_i,object_j,nonzero_coefficients,matrix_unit_label,perennial_id,coordinate_fingerprint_id,raw_support_perennial_ids
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",,37,4,1,3,0,4,22,"u[37;1,3]",a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0,a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.034e9541a05e71f5bb32c17d|a985pf.8fffb0f688ed50427e0186ab|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.404cf670100d6a5f1a2dd250|a985pf.50182ed2eabe67fd6092e6f3|a985pf.605336b16161cbfacb8c7451|a985pf.733ef39d0f9f629ef9f672a0|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.bad63dd92c0d7963a1477d0a|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.0f1476a5434aef02bb516590|a985pf.0431fb38103754f993836167|a985pf.9d42d1525738f3767a79c3ba|a985pf.888800292a677b99e8e0d84a|a985pf.d7101280a84ba80e5b49b132|a985pf.6a5e79e5cd51d443d142d532|a985pf.9dbed46bb0c6344488e1f811|a985pf.4d384f591c3ef6e2b4c37add|a985pf.eb9d6a0a14d39806215ee30f|a985pf.af080f21840d4387a85d2d76|a985pf.1c291d5534c311edc48123b2|a985pf.f5c4748a515dca877336eb56|a985pf.e35b4767bbe49090117feac8|a985pf.84002e99c600a48618b5e595|a985pf.5e5bfcc366256ec7df15b71c|a985pf.e8b35eb8f197f0e85e7f9a28|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.d12a943a54a67bb5ae120747|a985pf.b5a81e55237249530c339f32|a985pf.59330ff9790063b5c0df1269
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",,37,4,2,0,2,0,2,"u[37;2,0]",a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0,a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.034e9541a05e71f5bb32c17d|a985pf.8fffb0f688ed50427e0186ab|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.404cf670100d6a5f1a2dd250|a985pf.50182ed2eabe67fd6092e6f3|a985pf.605336b16161cbfacb8c7451|a985pf.733ef39d0f9f629ef9f672a0|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.bad63dd92c0d7963a1477d0a|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.0f1476a5434aef02bb516590|a985pf.0431fb38103754f993836167|a985pf.9d42d1525738f3767a79c3ba|a985pf.888800292a677b99e8e0d84a|a985pf.d7101280a84ba80e5b49b132|a985pf.6a5e79e5cd51d443d142d532|a985pf.9dbed46bb0c6344488e1f811|a985pf.4d384f591c3ef6e2b4c37add|a985pf.eb9d6a0a14d39806215ee30f|a985pf.af080f21840d4387a85d2d76|a985pf.1c291d5534c311edc48123b2|a985pf.f5c4748a515dca877336eb56|a985pf.e35b4767bbe49090117feac8|a985pf.84002e99c600a48618b5e595|a985pf.5e5bfcc366256ec7df15b71c|a985pf.e8b35eb8f197f0e85e7f9a28|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.d12a943a54a67bb5ae120747|a985pf.b5a81e55237249530c339f32|a985pf.59330ff9790063b5c0df1269
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",,37,4,2,1,2,0,6,"u[37;2,1]",a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0,a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.034e9541a05e71f5bb32c17d|a985pf.8fffb0f688ed50427e0186ab|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.404cf670100d6a5f1a2dd250|a985pf.50182ed2eabe67fd6092e6f3|a985pf.605336b16161cbfacb8c7451|a985pf.733ef39d0f9f629ef9f672a0|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.bad63dd92c0d7963a1477d0a|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.0f1476a5434aef02bb516590|a985pf.0431fb38103754f993836167|a985pf.9d42d1525738f3767a79c3ba|a985pf.888800292a677b99e8e0d84a|a985pf.d7101280a84ba80e5b49b132|a985pf.6a5e79e5cd51d443d142d532|a985pf.9dbed46bb0c6344488e1f811|a985pf.4d384f591c3ef6e2b4c37add|a985pf.eb9d6a0a14d39806215ee30f|a985pf.af080f21840d4387a85d2d76|a985pf.1c291d5534c311edc48123b2|a985pf.f5c4748a515dca877336eb56|a985pf.e35b4767bbe49090117feac8|a985pf.84002e99c600a48618b5e595|a985pf.5e5bfcc366256ec7df15b71c|a985pf.e8b35eb8f197f0e85e7f9a28|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.d12a943a54a67bb5ae120747|a985pf.b5a81e55237249530c339f32|a985pf.59330ff9790063b5c0df1269
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",,37,4,2,2,2,2,6,"u[37;2,2]",a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0,a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.034e9541a05e71f5bb32c17d|a985pf.8fffb0f688ed50427e0186ab|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.404cf670100d6a5f1a2dd250|a985pf.50182ed2eabe67fd6092e6f3|a985pf.605336b16161cbfacb8c7451|a985pf.733ef39d0f9f629ef9f672a0|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.bad63dd92c0d7963a1477d0a|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.0f1476a5434aef02bb516590|a985pf.0431fb38103754f993836167|a985pf.9d42d1525738f3767a79c3ba|a985pf.888800292a677b99e8e0d84a|a985pf.d7101280a84ba80e5b49b132|a985pf.6a5e79e5cd51d443d142d532|a985pf.9dbed46bb0c6344488e1f811|a985pf.4d384f591c3ef6e2b4c37add|a985pf.eb9d6a0a14d39806215ee30f|a985pf.af080f21840d4387a85d2d76|a985pf.1c291d5534c311edc48123b2|a985pf.f5c4748a515dca877336eb56|a985pf.e35b4767bbe49090117feac8|a985pf.84002e99c600a48618b5e595|a985pf.5e5bfcc366256ec7df15b71c|a985pf.e8b35eb8f197f0e85e7f9a28|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.d12a943a54a67bb5ae120747|a985pf.b5a81e55237249530c339f32|a985pf.59330ff9790063b5c0df1269
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",,37,4,2,3,2,4,8,"u[37;2,3]",a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0,a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.034e9541a05e71f5bb32c17d|a985pf.8fffb0f688ed50427e0186ab|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.404cf670100d6a5f1a2dd250|a985pf.50182ed2eabe67fd6092e6f3|a985pf.605336b16161cbfacb8c7451|a985pf.733ef39d0f9f629ef9f672a0|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.bad63dd92c0d7963a1477d0a|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.0f1476a5434aef02bb516590|a985pf.0431fb38103754f993836167|a985pf.9d42d1525738f3767a79c3ba|a985pf.888800292a677b99e8e0d84a|a985pf.d7101280a84ba80e5b49b132|a985pf.6a5e79e5cd51d443d142d532|a985pf.9dbed46bb0c6344488e1f811|a985pf.4d384f591c3ef6e2b4c37add|a985pf.eb9d6a0a14d39806215ee30f|a985pf.af080f21840d4387a85d2d76|a985pf.1c291d5534c311edc48123b2|a985pf.f5c4748a515dca877336eb56|a985pf.e35b4767bbe49090117feac8|a985pf.84002e99c600a48618b5e595|a985pf.5e5bfcc366256ec7df15b71c|a985pf.e8b35eb8f197f0e85e7f9a28|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.d12a943a54a67bb5ae120747|a985pf.b5a81e55237249530c339f32|a985pf.59330ff9790063b5c0df1269
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",,37,4,3,0,4,0,30,"u[37;3,0]",a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0,a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.034e9541a05e71f5bb32c17d|a985pf.8fffb0f688ed50427e0186ab|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.404cf670100d6a5f1a2dd250|a985pf.50182ed2eabe67fd6092e6f3|a985pf.605336b16161cbfacb8c7451|a985pf.733ef39d0f9f629ef9f672a0|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.bad63dd92c0d7963a1477d0a|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.0f1476a5434aef02bb516590|a985pf.0431fb38103754f993836167|a985pf.9d42d1525738f3767a79c3ba|a985pf.888800292a677b99e8e0d84a|a985pf.d7101280a84ba80e5b49b132|a985pf.6a5e79e5cd51d443d142d532|a985pf.9dbed46bb0c6344488e1f811|a985pf.4d384f591c3ef6e2b4c37add|a985pf.eb9d6a0a14d39806215ee30f|a985pf.af080f21840d4387a85d2d76|a985pf.1c291d5534c311edc48123b2|a985pf.f5c4748a515dca877336eb56|a985pf.e35b4767bbe49090117feac8|a985pf.84002e99c600a48618b5e595|a985pf.5e5bfcc366256ec7df15b71c|a985pf.e8b35eb8f197f0e85e7f9a28|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.d12a943a54a67bb5ae120747|a985pf.b5a81e55237249530c339f32|a985pf.59330ff9790063b5c0df1269
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",,37,4,3,1,4,0,22,"u[37;3,1]",a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0,a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.034e9541a05e71f5bb32c17d|a985pf.8fffb0f688ed50427e0186ab|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.404cf670100d6a5f1a2dd250|a985pf.50182ed2eabe67fd6092e6f3|a985pf.605336b16161cbfacb8c7451|a985pf.733ef39d0f9f629ef9f672a0|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.bad63dd92c0d7963a1477d0a|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.0f1476a5434aef02bb516590|a985pf.0431fb38103754f993836167|a985pf.9d42d1525738f3767a79c3ba|a985pf.888800292a677b99e8e0d84a|a985pf.d7101280a84ba80e5b49b132|a985pf.6a5e79e5cd51d443d142d532|a985pf.9dbed46bb0c6344488e1f811|a985pf.4d384f591c3ef6e2b4c37add|a985pf.eb9d6a0a14d39806215ee30f|a985pf.af080f21840d4387a85d2d76|a985pf.1c291d5534c311edc48123b2|a985pf.f5c4748a515dca877336eb56|a985pf.e35b4767bbe49090117feac8|a985pf.84002e99c600a48618b5e595|a985pf.5e5bfcc366256ec7df15b71c|a985pf.e8b35eb8f197f0e85e7f9a28|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.d12a943a54a67bb5ae120747|a985pf.b5a81e55237249530c339f32|a985pf.59330ff9790063b5c0df1269
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",,37,4,3,2,4,2,8,"u[37;3,2]",a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0,a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.034e9541a05e71f5bb32c17d|a985pf.8fffb0f688ed50427e0186ab|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.404cf670100d6a5f1a2dd250|a985pf.50182ed2eabe67fd6092e6f3|a985pf.605336b16161cbfacb8c7451|a985pf.733ef39d0f9f629ef9f672a0|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.bad63dd92c0d7963a1477d0a|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.0f1476a5434aef02bb516590|a985pf.0431fb38103754f993836167|a985pf.9d42d1525738f3767a79c3ba|a985pf.888800292a677b99e8e0d84a|a985pf.d7101280a84ba80e5b49b132|a985pf.6a5e79e5cd51d443d142d532|a985pf.9dbed46bb0c6344488e1f811|a985pf.4d384f591c3ef6e2b4c37add|a985pf.eb9d6a0a14d39806215ee30f|a985pf.af080f21840d4387a85d2d76|a985pf.1c291d5534c311edc48123b2|a985pf.f5c4748a515dca877336eb56|a985pf.e35b4767bbe49090117feac8|a985pf.84002e99c600a48618b5e595|a985pf.5e5bfcc366256ec7df15b71c|a985pf.e8b35eb8f197f0e85e7f9a28|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.d12a943a54a67bb5ae120747|a985pf.b5a81e55237249530c339f32|a985pf.59330ff9790063b5c0df1269
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",,37,4,3,3,4,4,44,"u[37;3,3]",a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0,a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.034e9541a05e71f5bb32c17d|a985pf.8fffb0f688ed50427e0186ab|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.404cf670100d6a5f1a2dd250|a985pf.50182ed2eabe67fd6092e6f3|a985pf.605336b16161cbfacb8c7451|a985pf.733ef39d0f9f629ef9f672a0|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.bad63dd92c0d7963a1477d0a|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.0f1476a5434aef02bb516590|a985pf.0431fb38103754f993836167|a985pf.9d42d1525738f3767a79c3ba|a985pf.888800292a677b99e8e0d84a|a985pf.d7101280a84ba80e5b49b132|a985pf.6a5e79e5cd51d443d142d532|a985pf.9dbed46bb0c6344488e1f811|a985pf.4d384f591c3ef6e2b4c37add|a985pf.eb9d6a0a14d39806215ee30f|a985pf.af080f21840d4387a85d2d76|a985pf.1c291d5534c311edc48123b2|a985pf.f5c4748a515dca877336eb56|a985pf.e35b4767bbe49090117feac8|a985pf.84002e99c600a48618b5e595|a985pf.5e5bfcc366256ec7df15b71c|a985pf.e8b35eb8f197f0e85e7f9a28|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.d12a943a54a67bb5ae120747|a985pf.b5a81e55237249530c339f32|a985pf.59330ff9790063b5c0df1269
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",,38,9,0,0,0,0,13,"u[38;0,0]",a985pf.59330ff9790063b5c0df1269,a985coord.096f8eab0a6fa737cbafb7ef,a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.034e9541a05e71f5bb32c17d|a985pf.8fffb0f688ed50427e0186ab|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.404cf670100d6a5f1a2dd250|a985pf.50182ed2eabe67fd6092e6f3|a985pf.605336b16161cbfacb8c7451|a985pf.733ef39d0f9f629ef9f672a0|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.bad63dd92c0d7963a1477d0a|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.0f1476a5434aef02bb516590|a985pf.0431fb38103754f993836167|a985pf.9d42d1525738f3767a79c3ba|a985pf.888800292a677b99e8e0d84a|a985pf.d7101280a84ba80e5b49b132|a985pf.6a5e79e5cd51d443d142d532|a985pf.9dbed46bb0c6344488e1f811|a985pf.4d384f591c3ef6e2b4c37add|a985pf.eb9d6a0a14d39806215ee30f|a985pf.af080f21840d4387a85d2d76|a985pf.1c291d5534c311edc48123b2|a985pf.f5c4748a515dca877336eb56|a985pf.e35b4767bbe49090117feac8|a985pf.84002e99c600a48618b5e595|a985pf.5e5bfcc366256ec7df15b71c|a985pf.e8b35eb8f197f0e85e7f9a28|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.d12a943a54a67bb5ae120747|a985pf.b5a81e55237249530c339f32|a985pf.59330ff9790063b5c0df1269
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",,38,9,0,1,0,0,14,"u[38;0,1]",a985pf.59330ff9790063b5c0df1269,a985coord.096f8eab0a6fa737cbafb7ef,a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.034e9541a05e71f5bb32c17d|a985pf.8fffb0f688ed50427e0186ab|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.404cf670100d6a5f1a2dd250|a985pf.50182ed2eabe67fd6092e6f3|a985pf.605336b16161cbfacb8c7451|a985pf.733ef39d0f9f629ef9f672a0|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.bad63dd92c0d7963a1477d0a|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.0f1476a5434aef02bb516590|a985pf.0431fb38103754f993836167|a985pf.9d42d1525738f3767a79c3ba|a985pf.888800292a677b99e8e0d84a|a985pf.d7101280a84ba80e5b49b132|a985pf.6a5e79e5cd51d443d142d532|a985pf.9dbed46bb0c6344488e1f811|a985pf.4d384f591c3ef6e2b4c37add|a985pf.eb9d6a0a14d39806215ee30f|a985pf.af080f21840d4387a85d2d76|a985pf.1c291d5534c311edc48123b2|a985pf.f5c4748a515dca877336eb56|a985pf.e35b4767bbe49090117feac8|a985pf.84002e99c600a48618b5e595|a985pf.5e5bfcc366256ec7df15b71c|a985pf.e8b35eb8f197f0e85e7f9a28|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.d12a943a54a67bb5ae120747|a985pf.b5a81e55237249530c339f32|a985pf.59330ff9790063b5c0df1269
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",,38,9,0,2,0,1,12,"u[38;0,2]",a985pf.59330ff9790063b5c0df1269,a985coord.096f8eab0a6fa737cbafb7ef,a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.034e9541a05e71f5bb32c17d|a985pf.8fffb0f688ed50427e0186ab|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.404cf670100d6a5f1a2dd250|a985pf.50182ed2eabe67fd6092e6f3|a985pf.605336b16161cbfacb8c7451|a985pf.733ef39d0f9f629ef9f672a0|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.bad63dd92c0d7963a1477d0a|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.0f1476a5434aef02bb516590|a985pf.0431fb38103754f993836167|a985pf.9d42d1525738f3767a79c3ba|a985pf.888800292a677b99e8e0d84a|a985pf.d7101280a84ba80e5b49b132|a985pf.6a5e79e5cd51d443d142d532|a985pf.9dbed46bb0c6344488e1f811|a985pf.4d384f591c3ef6e2b4c37add|a985pf.eb9d6a0a14d39806215ee30f|a985pf.af080f21840d4387a85d2d76|a985pf.1c291d5534c311edc48123b2|a985pf.f5c4748a515dca877336eb56|a985pf.e35b4767bbe49090117feac8|a985pf.84002e99c600a48618b5e595|a985pf.5e5bfcc366256ec7df15b71c|a985pf.e8b35eb8f197f0e85e7f9a28|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.d12a943a54a67bb5ae120747|a985pf.b5a81e55237249530c339f32|a985pf.59330ff9790063b5c0df1269
